timestamp,kalshi_slug,poly_slug,chainlink_price,cf_price,price_diff,price_spread
2026-04-28T12:33:52.723166-04:00,KXBTC15M-28APR261245-45,btc-updown-15m-1777393800,75940.03,75914.55,,
2026-04-28T12:34:37.186366-04:00,KXBTC15M-28APR261245-45,btc-updown-15m-1777393800,75944.84,75914.12,,
2026-04-28T12:35:40.933418-04:00,KXBTC15M-28APR261245-45,btc-updown-15m-1777393800,75916.65,75890.82,,
2026-04-28T12:39:54.062044-04:00,KXBTC15M-28APR261245-45,btc-updown-15m-1777393800,75912.41,75897.41,15.0,15.0
