timestamp,kalshi_slug,poly_slug,chainlink_price,cf_price,price_diff,kalshi_target_price,poly_target_price,kalshi_resolution,poly_resolution,time_remaining,time_progress,kalshi_error,poly_error,oracle_gap,oracle_gap_abs,market_gap,abs_kalshi_error,abs_poly_error,abs_oracle_gap,abs_market_gap,same_direction,rel_kalshi_error,rel_poly_error,relative_disagreement,matching
2026-04-28T17:27:35.892570-04:00,KXBTC15M-26APR281730-30,btc-updown-15m-1777410900,76335.32,76308.7,26.62000000000989,76361.0,76355.21671721025,0,0,144.10743,755.89257,52.30000000000291,19.89671721024206,-26.620000000009895,26.620000000009895,5.783282789750956,52.30000000000291,19.89671721024206,26.620000000009895,5.783282789750956,1,0.0006853740137101393,0.00026064890027633416,32.40328278976085,1
2026-04-28T17:28:00.000130-04:00,KXBTC15M-26APR281730-30,btc-updown-15m-1777410900,76327.03,76294.79,32.24000000000524,76361.0,76355.21671721025,0,0,119.99987,780.00013,66.2100000000064,28.186717210250208,-32.24000000000524,32.24000000000524,5.783282789750956,66.2100000000064,28.186717210250208,32.24000000000524,5.783282789750956,1,0.0008678181039623598,0.00036928879861105837,38.023282789756195,1
2026-04-28T17:29:00.000132-04:00,KXBTC15M-26APR281730-30,btc-updown-15m-1777410900,76292.17,76310.11,17.94000000000233,76361.0,76355.21671721025,0,0,59.999868,840.000132,50.88999999999942,63.04671721025079,17.94000000000233,17.94000000000233,5.783282789750956,50.88999999999942,63.04671721025079,17.94000000000233,5.783282789750956,1,0.0006668841127342028,0.000826385161285238,12.156717210251372,1
2026-04-28T17:29:33.062044-04:00,KXBTC15M-26APR281730-30,btc-updown-15m-1777410900,76307.74,76309.38,1.639999999999418,76361.0,76355.21671721025,0,0,26.937956,873.062044,51.61999999999534,47.476717210243805,1.639999999999418,1.639999999999418,5.783282789750956,51.61999999999534,47.476717210243805,1.639999999999418,5.783282789750956,1,0.0006764568130417956,0.0006221743326462532,4.143282789751538,1
2026-04-28T17:29:46.625926-04:00,KXBTC15M-26APR281730-30,btc-updown-15m-1777410900,76306.53,76304.65,1.8800000000046568,76361.0,76355.21671721025,0,0,13.374074,886.625926,56.35000000000582,48.68671721025021,-1.8800000000046566,1.8800000000046566,5.783282789750956,56.35000000000582,48.68671721025021,1.8800000000046566,5.783282789750956,1,0.0007384871039970149,0.0006380412948963897,7.663282789755613,1
2026-04-28T17:30:30.085368-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76307.25,76305.62,1.6300000000046566,76307.39,76301.36217652843,1,1,869.914632,30.085368000000017,1.7700000000040745,-5.887823471566662,-1.6300000000046566,1.6300000000046566,6.02782347156608,1.7700000000040745,5.887823471566662,1.6300000000046566,6.02782347156608,0,2.319619446122153e-05,-7.715942419058035e-05,7.657823471570737,1
2026-04-28T17:30:50.165683-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76299.64,76304.47,4.830000000001746,76307.39,76301.36217652843,1,1,849.834317,50.165682999999945,2.9199999999982538,1.7221765284339199,4.830000000001746,4.830000000001746,6.02782347156608,2.9199999999982538,1.7221765284339199,4.830000000001746,6.02782347156608,1,3.8267744995781426e-05,2.257122744529227e-05,1.1978234715643339,1
2026-04-28T17:31:34.567863-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76301.76,76326.51,24.75,76307.39,76301.36217652843,1,1,805.432137,94.56786299999999,-19.119999999995343,-0.3978234715614235,24.75,24.75,6.02782347156608,19.119999999995343,0.3978234715614235,24.75,6.02782347156608,1,-0.0002505027414458665,-5.213817762020477e-06,18.72217652843392,1
2026-04-28T17:31:57.996781-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76301.38,76320.98,19.59999999999127,76307.39,76301.36217652843,1,1,782.003219,117.99678100000006,-13.589999999996508,-0.017823471571318805,19.59999999999127,19.59999999999127,6.02782347156608,13.589999999996508,0.017823471571318805,19.59999999999127,6.02782347156608,1,-0.00017806375127778112,-2.3359304341964462e-07,13.572176528425189,1
2026-04-28T17:32:21.531104-04:00,KXBTC15M-26APR281745-45,btc-updown-15m-1777411800,76315.9,76321.27,5.370000000009895,76307.39,76301.36217652843,1,1,758.468896,141.53110400000003,-13.880000000004657,-14.537823471560841,5.370000000009895,5.370000000009895,6.02782347156608,13.880000000004657,14.537823471560841,5.370000000009895,6.02782347156608,1,-0.00018186280181140403,-0.00019049534201340536,0.6578234715561848,1
